"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","Park_Name","Park_Type","Zip_Code","Aqua_Feat__Pool","Aqua_Feat__Spray","Backstop__Practice","Ballfield","Basketball","Blueway","Complex__Ballfield","Complex__Tennis","Concessions","Disk_Golf","Driving_Range","Educational_Experience","Event_Space","Fitness_Course","Garden__Community","Garden__Display","Golf","Hockey__Ice","Loop_Walk","MP_Field__Large","MP_Field__Multiple","MP_Field__Small","Multiuse_Court","Natural_Area","Open_Turf","Open_Water","Other___Active","Other_Passive","Passive_Node","Picnic_Grounds","Playground__Destination","Playground__Local","Public_Art","Shelter","Shelter__Group","Skate_Park","Sledding_Hill","Structure","Tennis","Trail__Primitive","Volleyball","Water_Access__Developed","Water_Access__General","Water_Feature","Address","X","Y"
"45",45,45,45,45,45,45,45,"Pier Park","Block Park",46601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"124 N. St. Joseph Street, South Bend, Indiana 46601",-86.24872928,41.6767999
"46",46,46,46,46,46,46,46,"Seitz Park","Block Park",46601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"340 E. Colfax, South Bend, Indiana 46601",-86.24976801,41.67777423
"47",47,47,47,47,47,47,47,"Veteran's Memorial Park","Neighborhood Park",46615,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1501 Northside Blvd, South Bend, Indiana 46615",-86.22534234,41.66026249
"48",48,48,48,48,48,48,48,"Howard Park","Neighborhood Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"219 S. St. Louis Blvd, South Bend, Indiana 46617",-86.24143682,41.67855932
"49",49,49,49,49,49,49,49,"Pinhook Park","Community Park",46616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"2801 Riverside Drive, South Bend, Indiana 46616",-86.27120319,41.71387393
"50",50,50,50,50,50,50,50,"Plaza Park","Neighborhood Park",46601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"400 Columbia Street, South Bend, Indiana 46601",-86.24572568,41.67197971
"51",51,51,51,51,51,51,51,"Pulaski Park","Neighborhood Park",46619,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1308 Huron, South Bend, Indiana 46619",-86.27011869,41.67018352
"52",52,52,52,52,52,52,52,"Randolph Mini Park","Neighborhood Park",46613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1809 Randolph Street, South Bend, Indiana 46613",-86.22014035,41.65585822
"53",53,53,53,53,53,53,53,"Ravina Park","Block Park",46613,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1522 Lebanon St., South Bend, Indiana 46613",-86.2381902,41.65941213
"54",54,54,54,54,54,54,54,"River Manor Park","Neighborhood Park",46628,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,"3811 Glenview Dr., South Bend, Indiana 46628",-86.27364228,41.72756649
"55",55,55,55,55,55,55,55,"Sorin Mini Park","Block Park",46615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3366 Sorin Street, South Bend, Indiana 46615",-86.20077129,41.68463345
"56",56,56,56,56,56,56,56,"Southeast Neighborhood Park","Neighborhood Park",46601,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"503 Wenger Street, South Bend, Indiana 46601",-86.24358122,41.66258754
"57",57,57,57,57,57,57,57,"Four Winds Field","Community Park",46601,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"301 W. South St., South Bend, Indiana 46601",-86.25358006,41.66959831
"58",58,58,58,58,58,58,58,"Voorde Park","Neighborhood Park",46628,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"3433 Keller St., South Bend, Indiana 46628",-86.29765393,41.6973084
